crew_id,name,address,city,state,zip,country,contact
NNI-164,Gay Voss,800 American Parkway,Roanoke,Virginia,41668,United States,540-400-0835
JFX-011,Andrew Coton,963 Sachs Alley,Boston,Massachusetts,95180,United States,617-700-0897
ZUE-222,Alanna Wellwood,90571 Iowa Parkway,Houston,Texas,96708,United States,713-572-4198
DTG-106,Jamie Gives,60 Del Mar Parkway,Tampa,Florida,29483,United States,813-381-0530
QTE-945,Rosemary Lamasna,0690 Loftsgordon Terrace,Jackson,Mississippi,14290,United States,601-515-5525
EBI-446,Spence Noseworthy,9 Pine View Center,Sacramento,California,44247,United States,916-338-5357
HKL-067,Kirbee Garz,045 Welch Crossing,New Orleans,Louisiana,94643,United States,504-693-1611
YMP-286,Athena De Filippo,25996 Dottie Center,Wilmington,Delaware,68367,United States,302-289-8368
RLK-012,Brod Arnold,8341 Farragut Street,Pasadena,California,82657,United States,626-855-8309
GQU-943,Haywood Dictus,67054 Mariners Cove Trail,Fresno,California,53896,United States,209-603-4466
SDN-884,Oona Palfree,96239 Orin Court,Oakland,California,20268,United States,510-446-4512
VUP-427,Florri Klassman,0092 Melby Way,Milwaukee,Wisconsin,80674,United States,414-599-9548
CAS-278,Fayre Dudin,55 Alpine Circle,Jamaica,New York,40271,United States,212-462-3616
YDD-027,Worthy Broader,02 Bay Plaza,Oklahoma City,Oklahoma,81207,United States,405-770-0392
ITU-993,Iorgos Peal,503 2nd Road,Roanoke,Virginia,51235,United States,540-801-1625
MBL-041,Diann Wolpert,16 Oak Valley Alley,Washington,District of Columbia,84628,United States,202-175-1801
VYZ-023,Joaquin Domniney,7 Village Green Circle,Denver,Colorado,78034,United States,303-172-5759
JUS-417,Artemis Smorthwaite,589 Pearson Court,Chicago,Illinois,55867,United States,312-148-0423
EFI-497,Danice McCutheon,0 Hollow Ridge Center,Denver,Colorado,35109,United States,303-577-3615
IJO-496,Buddy Denisovich,5068 Weeping Birch Point,Denton,Texas,16305,United States,817-921-8554
